SpoolID,Start Date,Processing Time in Days,Finish Date,Due Date,Processing Time,Required Resources,8,Processing time in days = Processign time/8,,,,,Required resources = random number between 2 and 4 inclusive
631003043,4/28/2020,1.259483125,4/29/2020,5/25/2020,10.075865,3,,,,,,,
631003044,5/8/2020,2.20307375,5/10/2020,5/15/2020,17.62459,3,,,,,,,
631003045,5/8/2020,2.259483125,5/10/2020,5/25/2020,18.075865,2,,,,,,,
631003047,5/8/2020,1.50091525,5/9/2020,5/25/2020,12.007322,2,,,,,,,
631003048,5/12/2020,1.873217125,5/13/2020,6/2/2020,14.985737,3,,,,,,,
631003049,4/24/2020,1.794244,4/25/2020,6/3/2020,14.353952,3,,,,,,,
631003050,4/24/2020,5.469326,4/29/2020,6/18/2020,43.754608,3,,,,,,,
631003051,5/26/2020,1.341222917,5/27/2020,7/10/2020,10.72978333,2,,,,,,,
631003052,4/24/2020,1.45578775,4/25/2020,5/22/2020,11.646302,4,,,,,,,
631003053,2/13/2020,1.42871125,2/14/2020,4/19/2020,11.42969,3,,,,,,,
631003054,4/28/2020,2.12857,4/30/2020,6/3/2020,17.02856,2,,,,,,,
631003055,4/28/2020,1.286559625,4/29/2020,5/15/2020,10.292477,3,,,,,,,
631003056,4/28/2020,2.286559625,4/30/2020,5/15/2020,18.292477,2,,,,,,,
631003057,5/1/2020,2.08306,5/3/2020,6/1/2020,16.66448,2,,,,,,,
631003058,5/8/2020,2.4472,5/10/2020,6/18/2020,19.5776,3,,,,,,,
631003059,5/8/2020,1.109470833,5/9/2020,6/4/2020,8.875766667,3,,,,,,,
631003060,2/13/2020,1.169228125,2/14/2020,5/25/2020,9.353825,3,,,,,,,
631003061,2/13/2020,7.2256375,2/20/2020,3/16/2020,57.8051,4,,,,,,,
631003062,2/13/2020,6.046583333,2/19/2020,4/2/2020,48.37266667,3,,,,,,,
631003063,5/14/2020,1.064052083,5/15/2020,6/1/2020,8.512416667,3,,,,,,,
631003065,2/13/2020,5.141023438,2/18/2020,5/1/2020,41.1281875,4,,,,,,,
631003067,5/8/2020,2.282046875,5/10/2020,5/26/2020,18.256375,3,,,,,,,
631003068,2/13/2020,1.097825,2/14/2020,3/25/2020,8.7826,4,,,,,,,
631003069,2/13/2020,17.270765,3/1/2020,3/16/2020,138.16612,2,,,,,,,
631003070,2/13/2020,1.0559,2/14/2020,3/28/2020,8.4472,2,,,,,,,
631003071,5/14/2020,4.048446667,5/18/2020,6/3/2020,32.38757333,3,,,,,,,
631003072,2/13/2020,8.1353825,2/21/2020,3/16/2020,65.08306,2,,,,,,,
631003073,4/28/2020,4.33845625,5/2/2020,5/15/2020,34.70765,4,,,,,,,
631003074,5/10/2020,2.2808975,5/12/2020,6/10/2020,18.24718,3,,,,,,,
631003075,5/23/2020,1.394095,5/24/2020,6/17/2020,11.15276,4,,,,,,,
631003076,5/23/2020,3.495976625,5/26/2020,6/30/2020,27.967813,2,,,,,,,
631003077,2/21/2020,1.2436885,2/22/2020,3/23/2020,9.949508,2,,,,,,,
631003078,5/14/2020,2.073601667,5/16/2020,6/3/2020,16.58881333,2,,,,,,,
631003079,5/14/2020,2.064285,5/16/2020,6/17/2020,16.51428,4,,,,,,,
631003080,2/21/2020,4.05031,2/25/2020,3/18/2020,32.40248,4,,,,,,,
631003081,5/14/2020,1.073601667,5/15/2020,6/22/2020,8.588813333,4,,,,,,,
631003082,5/14/2020,4.064285,5/18/2020,6/16/2020,32.51428,3,,,,,,,
631003083,5/14/2020,2.045651667,5/16/2020,7/10/2020,16.36521333,2,,,,,,,
631003084,5/14/2020,1.073601667,5/15/2020,7/9/2020,8.588813333,4,,,,,,,
631003085,5/14/2020,1.065216667,5/15/2020,7/9/2020,8.521733333,3,,,,,,,
631003086,5/14/2020,2.35650725,5/16/2020,6/19/2020,18.852058,2,,,,,,,
631003087,2/21/2020,1.05031,2/22/2020,3/20/2020,8.40248,3,,,,,,,
631003088,5/14/2020,4.065216667,5/18/2020,6/16/2020,32.52173333,4,,,,,,,
631003089,5/8/2020,2.705117188,5/10/2020,5/19/2020,21.6409375,3,,,,,,,
631003090,5/8/2020,5.1048125,5/13/2020,5/21/2020,40.8385,3,,,,,,,
631003091,5/8/2020,1.47383875,5/9/2020,5/21/2020,11.79071,3,,,,,,,
631003092,5/8/2020,1.291072375,5/9/2020,6/4/2020,10.328579,2,,,,,,,
631003093,5/8/2020,1.291072375,5/9/2020,6/8/2020,10.328579,3,,,,,,,
631003094,5/8/2020,3.1118,5/11/2020,6/1/2020,24.8944,2,,,,,,,
631003095,5/14/2020,1.121116667,5/15/2020,6/9/2020,8.968933333,4,,,,,,,
631003096,5/19/2020,8.16211,5/27/2020,7/13/2020,65.29688,4,,,,,,,
631003097,5/15/2020,1.1895355,5/16/2020,7/13/2020,9.516284,3,,,,,,,
631003098,5/8/2020,1.093166667,5/9/2020,6/22/2020,8.745333333,2,,,,,,,
631003099,5/8/2020,5.377942813,5/13/2020,6/2/2020,43.0235425,4,,,,,,,
631003100,5/8/2020,1.028204688,5/9/2020,5/25/2020,8.2256375,2,,,,,,,
